model,treatment_status
CTG-0159,Treated
CTG-0160,Treated
CTG-0163,Treated
CTG-0165,Treated
CTG-0183,Treated
CTG-0192,Treated
CTG-0838,Treated
CTG-0852,Treated
CTG-0945,Treated
CTG-1012,Treated
CTG-1014,Treated
CTG-1342,Treated
CTG-1444,Treated
CTG-1502,Treated
CTG-1810,Treated
CTG-1813,Treated
CTG-1903,Treated
CTG-1932,Treated
CTG-2014,Treated
CTG-2180,Treated
CTG-2433,Treated
CTG-2472,Treated
CTG-2534,Treated
CTG-2535,Treated
CTG-2536,Treated
CTG-2540,Treated
CTG-2543,Treated
CTG-2552,Treated
CTG-2556,Treated
CTG-2591,Treated
CTG-2798,Treated
CTG-2934,Treated
CTG-2983,Treated
CTG-2992,Treated
CTG-3203,Treated
CTG-3312,Treated
CTG-3456,Treated
CTG-3514,Treated
CTG-3599,Treated
CTG-3651,Treated
CTG-0102,Untreated
CTG-0170,Untreated
CTG-0172,Untreated
CTG-0178,Untreated
CTG-0184,Untreated
CTG-0464,Untreated
CTG-0743,Untreated
CTG-0765,Untreated
CTG-0828,Untreated
CTG-0921,Untreated
CTG-0924,Untreated
CTG-0979,Untreated
CTG-1253,Untreated
CTG-1275,Untreated
CTG-1291,Untreated
CTG-1309,Untreated
CTG-1316,Untreated
CTG-1387,Untreated
CTG-1441,Untreated
CTG-1467,Untreated
CTG-1479,Untreated
CTG-1535,Untreated
CTG-1580,Untreated
CTG-1605,Untreated
CTG-1683,Untreated
CTG-1726,Untreated
CTG-1732,Untreated
CTG-1751,Untreated
CTG-1757,Untreated
CTG-1761,Untreated
CTG-1762,Untreated
CTG-1774,Untreated
CTG-1785,Untreated
CTG-1803,Untreated
CTG-1814,Untreated
CTG-1816,Untreated
CTG-1831,Untreated
CTG-1837,Untreated
CTG-1845,Untreated
CTG-1850,Untreated
CTG-1867,Untreated
CTG-1878,Untreated
CTG-1879,Untreated
CTG-1885,Untreated
CTG-1927,Untreated
CTG-1928,Untreated
CTG-1929,Untreated
CTG-1937,Untreated
CTG-1955,Untreated
CTG-1963,Untreated
CTG-1965,Untreated
CTG-1966,Untreated
CTG-1988,Untreated
CTG-1992,Untreated
CTG-1993,Untreated
CTG-1995,Untreated
CTG-1998,Untreated
CTG-1999,Untreated
CTG-2011,Untreated
CTG-2015,Untreated
CTG-2016,Untreated
CTG-2026,Untreated
CTG-2027,Untreated
CTG-2033,Untreated
CTG-2044,Untreated
CTG-2058,Untreated
CTG-2080,Untreated
CTG-2082,Untreated
CTG-2090,Untreated
CTG-2092,Untreated
CTG-2100,Untreated
CTG-2116,Untreated
CTG-2117,Untreated
CTG-2123,Untreated
CTG-2125,Untreated
CTG-2137,Untreated
CTG-2160,Untreated
CTG-2176,Untreated
CTG-2195,Untreated
CTG-2200,Untreated
CTG-2201,Untreated
CTG-2210,Untreated
CTG-2249,Untreated
CTG-2261,Untreated
CTG-2263,Untreated
CTG-2271,Untreated
CTG-2296,Untreated
CTG-2311,Untreated
CTG-2312,Untreated
CTG-2315,Untreated
CTG-2330,Untreated
CTG-2350,Untreated
CTG-2364,Untreated
CTG-2365,Untreated
CTG-2366,Untreated
CTG-2367,Untreated
CTG-2376,Untreated
CTG-2388,Untreated
CTG-2396,Untreated
CTG-2435,Untreated
CTG-2446,Untreated
CTG-2466,Untreated
CTG-2469,Untreated
CTG-2487,Untreated
CTG-2492,Untreated
CTG-2498,Untreated
CTG-2523,Untreated
CTG-2525,Untreated
CTG-2529,Untreated
CTG-2531,Untreated
CTG-2538,Untreated
CTG-2545,Untreated
CTG-2546,Untreated
CTG-2547,Untreated
CTG-2548,Untreated
CTG-2550,Untreated
CTG-2553,Untreated
CTG-2554,Untreated
CTG-2555,Untreated
CTG-2557,Untreated
CTG-2558,Untreated
CTG-2559,Untreated
CTG-2560,Untreated
CTG-2569,Untreated
CTG-2572,Untreated
CTG-2573,Untreated
CTG-2575,Untreated
CTG-2577,Untreated
CTG-2643,Untreated
CTG-2648,Untreated
CTG-2649,Untreated
CTG-2654,Untreated
CTG-2672,Untreated
CTG-2682,Untreated
CTG-2684,Untreated
CTG-2738,Untreated
CTG-2746,Untreated
CTG-2751,Untreated
CTG-2755,Untreated
CTG-2765,Untreated
CTG-2769,Untreated
CTG-2772,Untreated
CTG-2776,Untreated
CTG-2784,Untreated
CTG-2788,Untreated
CTG-2821,Untreated
CTG-2823,Untreated
CTG-2825,Untreated
CTG-2840,Untreated
CTG-2841,Untreated
CTG-2853,Untreated
CTG-2873,Untreated
CTG-2917,Untreated
CTG-2943,Untreated
CTG-2952,Untreated
CTG-3073,Untreated
CTG-3115,Untreated
CTG-3121,Untreated
CTG-3129,Untreated
CTG-3146,Untreated
CTG-3188,Untreated
CTG-3213,Untreated
CTG-3293,Untreated
CTG-3493,Untreated
CTG-3569,Untreated
